"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.447841738E1,2.175276041E0,-2.935680151E0,1.102195501E0
2.456843738E1,1.653739929E0,-1.291633725E0,9.150488973E-1
2.466342638E1,-1.253305972E-1,1.202171206E0,2.952425480E-1
2.475841438E1,1.437207460E-1,7.826346755E-1,4.719913602E-1
2.485340438E1,9.344595075E-1,1.136599481E-1,9.667204618E-1
2.494839338E1,2.028730959E-1,9.002256393E-1,4.784657657E-1
2.504337937E1,-1.769720197E0,6.024217606E0,-1.833635330E0
2.513837138E1,-3.100686789E0,7.018539906E0,-3.642923594E0
2.523336138E1,-8.263798356E-1,2.282753140E-1,-8.846169710E-1
2.532834938E1,-4.594852626E-1,-3.410163522E-1,-6.456407309E-1
2.542333838E1,-2.394074649E-1,-5.897532701E-1,-3.858610690E-1
2.551832838E1,-2.576909363E-1,-1.181519151E0,-8.449810743E-1
2.561331438E1,-7.049630880E-1,-1.569721341E0,-1.186375022E0
2.570827938E1,-4.099708796E-2,-2.211629152E0,-1.259695530E0
2.580327638E1,-1.103224605E-1,-1.050891161E0,-1.129644156E0
2.589328538E1,-1.234553903E-1,-1.215194464E0,-8.627761602E-1
2.598824738E1,-8.088433743E-1,-6.792986393E-1,-8.701987863E-1
2.607826238E1,-8.884110451E-1,-3.312864900E-1,-4.546996951E-1
2.617325338E1,-5.077149272E-1,-2.969897389E-1,2.699417770E-1
2.626821138E1,-9.191254377E-1,2.839903533E-1,5.930120945E-1
2.636323038E1,9.481780529E-1,3.689814210E-1,1.316336393E0
2.645822138E1,1.277053118E0,-1.757447980E-2,1.148335218E0
2.655317938E1,2.421302795E0,1.779556274E-1,6.340267658E-1
2.664318138E1,1.779947639E0,6.034012437E-1,1.725452989E-1
2.673818738E1,1.183004379E0,-3.312216401E-1,1.685836315E-1
2.683315738E1,1.976093501E-1,-1.910389364E-1,1.908457428E-1
2.692316738E1,3.770647645E-1,-9.116581082E-1,3.828723133E-1
2.701815638E1,-1.979803920E0,-1.052693486E0,-2.670033276E-1
2.711314538E1,-3.228456736E0,1.053980589E0,1.903308034E-1
2.720813538E1,-2.487872690E-1,-3.756408691E-1,1.405136347E0
2.730310438E1,-5.327144265E-1,8.833980560E-1,-5.936388373E-1
2.739811238E1,6.999322772E-1,-8.077933788E-1,-6.308864355E-1
2.749310138E1,3.622289374E-2,1.853655875E-1,-7.389997840E-1
2.758809238E1,-7.866712809E-1,3.434678912E-1,-3.978295624E-1
2.768307738E1,-6.419498920E-1,4.173497558E-1,5.886675715E-1
2.777806938E1,-1.589514911E-1,6.865530610E-1,7.465608120E-1
2.787303938E1,3.731507063E0,-4.953865409E-1,1.649231911E0
2.796304938E1,3.360963345E0,-5.880646706E-1,2.043539047E0
2.805790017E1,2.564554453E0,-6.680990756E-2,1.953111649E0
2.815289317E1,1.709998965E0,1.259510159E0,1.331601143E0
2.824788317E1,1.210014582E0,1.683309555E0,5.869890451E-1
2.834287117E1,5.398082137E-1,6.697713137E-1,1.186713338E0
2.843785217E1,-6.151565313E-1,7.616345882E-1,-2.395822853E-2
2.853283417E1,-3.409568071E0,-1.935858279E-1,-8.589712381E-1
2.862783817E1,-7.080424428E-1,-7.654329389E-2,-2.268324852E0
2.872280617E1,6.820396781E-1,-9.935958982E-1,-1.459161520E0
2.881778817E1,-3.827136708E-3,4.014072418E-1,-1.611687064E0
2.890780817E1,7.068932056E-1,-1.472424507E0,-1.370573193E-1
2.900277317E1,1.515841484E0,-1.588516474E0,6.965594292E-1
2.909776417E1,-4.655894935E-1,-3.800064325E-1,8.012154102E-1
2.919274817E1,1.390051484E0,-1.624466658E0,2.222185135E0
2.928276517E1,2.271735430E0,-1.543504119E0,1.592966557E0
2.937775317E1,1.046619296E0,1.363240838E0,-6.525377929E-2
2.947273417E1,1.094870120E-1,3.285928011E0,-2.163280010E0
2.956773017E1,-4.269983470E-1,-3.355320096E-1,1.525965333E-1
2.966272017E1,-2.021693707E0,2.695821524E0,-1.187811971E0
2.975770917E1,1.066185236E-1,9.679607302E-2,-2.862855196E-1
2.985269117E1,8.014523387E-1,-2.430624217E-1,-3.434743583E-1
2.994768717E1,5.570041537E-1,-9.263169169E-1,-5.198814869E-1
3.004265117E1,2.751963437E-1,1.965478659E-1,-8.444272280E-1
3.013266717E1,3.155450225E-1,2.861719579E-2,-4.715784490E-1
3.022765717E1,-1.511088163E-1,-8.054842800E-2,4.258116484E-1
3.032264517E1,-1.218220115E0,6.249316931E-1,7.901748419E-1
3.041763417E1,9.247834086E-1,-4.374912679E-1,2.104423761E0
3.051262417E1,1.164211869E0,-1.082145214E0,1.766159654E0
3.060761217E1,9.368779659E-1,-6.166660786E-1,5.082823038E-1
3.070260317E1,1.116791248E0,-9.565618038E-1,-1.098002344E-1
3.079759117E1,4.180555642E-1,6.123715639E-1,-7.617172003E-1
3.089256917E1,-8.371636868E-1,-2.514002323E-1,5.233969092E-1
3.098257017E1,-1.641526818E0,9.714794755E-1,-6.714622974E-1
3.107755917E1,-1.445650220E0,-1.190053821E0,5.804421753E-2
3.117254817E1,-4.654606581E-1,-8.497252464E-1,-6.245566010E-1
3.126750817E1,-7.214832306E-1,1.698074192E-1,-9.420608878E-1
3.135752617E1,6.803958118E-2,-1.855528206E-1,-7.042719126E-1
3.145251617E1,1.428708285E-1,3.598406017E-1,-6.918915510E-1
3.154750517E1,3.333546221E-2,6.257303357E-1,-5.096571445E-1
3.164247317E1,-9.750846624E-1,1.067551851E0,8.077248335E-1
3.173247617E1,8.054144382E-1,-1.273623109E-1,2.157487154E0
3.182747417E1,1.749635577E0,3.311236948E-2,1.083220840E0
3.192246017E1,9.052441120E-1,-1.164752394E-1,2.620467544E-1
3.201744717E1,1.039489269E0,-2.578192353E-1,-6.746243220E-3
3.211243717E1,3.813175857E-1,5.777125061E-2,-4.498369992E-1
3.220743017E1,-1.275435567E0,5.407985672E-2,-1.057536960E0
3.230239017E1,-3.299367428E0,7.899765968E-1,-2.523861647E0
3.239738617E1,1.988612115E-1,-1.341215849E0,3.647527397E-1
3.249237817E1,-1.913325675E-2,-1.576944590E0,3.135927320E-1
3.258238717E1,-1.426140219E-1,-1.911904663E-1,-8.372402787E-1
3.267737517E1,3.053556755E-2,5.969918370E-1,-1.286208391E0
3.277235517E1,3.298271596E-1,1.143946528E0,-8.424142003E-1
3.286734017E1,5.717238784E-2,-6.216999888E-1,3.925452828E-1
3.295734217E1,-3.510225099E-3,-8.932026029E-1,1.102584124E0
3.305215963E1,1.593785524E0,-1.318688035E0,1.141470671E0
3.314714463E1,1.543246865E0,-4.970023632E-1,1.021618247E0
3.323716263E1,3.321612477E-1,8.716680110E-2,1.195401698E-2
3.333213062E1,7.579766512E-1,2.460986823E-1,-4.066039622E-1
3.342214062E1,-1.679214686E-1,1.214161992E0,-1.313935518E-1
3.351712863E1,-8.120388389E-1,3.070119917E-1,6.396739483E-1
3.361210263E1,-1.809728622E0,9.001570940E-1,-4.703189433E-1
3.370210763E1,-3.317528665E-1,4.263978004E-1,-3.822768331E-1
3.379709762E1,1.098124608E-1,-1.531973600E0,-4.543821514E-2
3.389208163E1,-7.362284660E-1,1.184367537E-1,-1.243443489E0
3.398707563E1,4.709553719E-1,-3.340599835E-1,3.909820616E-1
3.408203763E1,2.637582123E-1,6.405266523E-1,2.530846298E-1
3.417204063E1,7.582249641E-1,2.304268777E-1,4.318878651E-1
3.426204362E1,1.170437455E0,-2.048787475E-1,5.248001814E-1
