"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.878676343E3,2.333198090E0,8.074209595E-1,-9.483229523E0
4.878777549E3,2.526595917E0,7.942483521E-1,-9.372759247E0
4.878878726E3,2.598147125E0,8.289761353E-1,-9.426048431E0
4.878979947E3,2.599194946E0,5.972579956E-1,-9.247769165E0
4.879081162E3,2.661914520E0,6.976991272E-1,-9.295819244E0
4.879182355E3,2.648891602E0,6.140231323E-1,-9.432485046E0
4.879283572E3,2.729573822E0,6.134243774E-1,-9.388476562E0
4.879384787E3,2.700833588E0,6.710545349E-1,-9.266180878E0
4.879485991E3,2.721041565E0,4.411326599E-1,-9.304351501E0
4.879587189E3,2.742746429E0,4.668791199E-1,-9.391620026E0
4.879688395E3,2.734513550E0,5.839356995E-1,-9.307494965E0
4.879789588E3,2.771336975E0,5.906716919E-1,-9.317224731E0
4.879890783E3,2.734064484E0,5.939648438E-1,-9.289532318E0
4.879991951E3,2.771786041E0,5.501060486E-1,-9.441017303E0
4.880093166E3,2.833158417E0,5.025050354E-1,-9.341324615E0
4.880194355E3,2.739303589E0,6.336323547E-1,-9.256301422E0
4.880295559E3,2.835254059E0,4.924758911E-1,-9.345366211E0
4.880396766E3,2.830314331E0,6.393205261E-1,-9.308243408E0
4.880497969E3,2.824476471E0,5.869294739E-1,-9.351653137E0
4.880599168E3,2.833457794E0,6.057902527E-1,-9.288933563E0
4.880700376E3,2.830464020E0,6.923103333E-1,-9.215286713E0
4.880801559E3,2.681523743E0,5.001100159E-1,-9.305399323E0
4.880902795E3,2.925067291E0,7.711962891E-1,-9.341474304E0
4.881004008E3,2.837798767E0,5.839356995E-1,-9.172176361E0
4.881105195E3,2.811902618E0,6.342311096E-1,-9.344917145E0
4.881206398E3,2.805915070E0,6.111790466E-1,-9.329349518E0
4.881307603E3,2.828218689E0,7.235952759E-1,-9.309889984E0
4.881408819E3,2.852019196E0,7.214996338E-1,-9.213041382E0
4.881510026E3,2.793640594E0,6.789880371E-1,-9.247619476E0
4.881611214E3,2.784060516E0,6.484515381E-1,-9.294022980E0
4.881712420E3,2.855611725E0,7.014413452E-1,-9.233548737E0
4.881813638E3,2.800077209E0,7.414082336E-1,-9.126970367E0
4.881914832E3,2.782264252E0,5.959107971E-1,-9.235045624E0
4.882016023E3,2.888692932E0,6.330335999E-1,-9.339678040E0
4.882117216E3,2.871478729E0,6.177653503E-1,-9.337732086E0
4.882218391E3,2.825973358E0,6.879693604E-1,-9.337432709E0
4.882319498E3,2.893482971E0,6.777905273E-1,-9.240434418E0
4.882420693E3,2.850671997E0,6.738986206E-1,-9.271869049E0
4.882521897E3,2.818189545E0,5.957611084E-1,-9.233698425E0
4.882623087E3,2.882855072E0,7.840695190E-1,-9.278155975E0
4.882724272E3,2.918780365E0,6.614744568E-1,-9.324559479E0
4.882825449E3,2.859503632E0,6.204597473E-1,-9.285341034E0
4.882926651E3,2.874921570E0,6.396199036E-1,-9.264683990E0
4.883027839E3,2.893333282E0,6.643185425E-1,-9.279802551E0
4.883129036E3,2.993475037E0,6.830296326E-1,-9.312883759E0
4.883230204E3,2.862647095E0,5.981561279E-1,-9.306297455E0
4.883331426E3,2.861599274E0,6.080355835E-1,-9.271120605E0
4.883432621E3,2.925067291E0,6.894662476E-1,-9.246272278E0
4.883533822E3,2.830613708E0,6.743476868E-1,-9.302405548E0
4.883635019E3,2.918031921E0,5.926176453E-1,-9.287586365E0
4.883736221E3,2.915187836E0,6.671626282E-1,-9.296717377E0
4.883837412E3,2.938988342E0,5.917195129E-1,-9.294472046E0
4.883938601E3,2.890489197E0,6.481521606E-1,-9.300309906E0
4.884039813E3,2.933599548E0,5.728587341E-1,-9.280251617E0
4.884141022E3,2.826721802E0,6.221063232E-1,-9.206006012E0
4.884242228E3,2.920127563E0,5.920188904E-1,-9.347761230E0
4.884343425E3,2.858605499E0,5.361849976E-1,-9.305099945E0
4.884444590E3,2.925516357E0,6.233038330E-1,-9.344318390E0
4.884545790E3,2.919828186E0,5.968089294E-1,-9.193132782E0
4.884646994E3,2.842888184E0,5.828878784E-1,-9.287137299E0
4.884748186E3,2.929258575E0,5.221142578E-1,-9.300758972E0
4.884849370E3,2.907254333E0,6.867718506E-1,-9.265282745E0
4.884950561E3,2.966531067E0,6.673123169E-1,-9.216484222E0
4.885051740E3,2.884052582E0,5.839356995E-1,-9.351952515E0
4.885152914E3,2.898722076E0,5.343887329E-1,-9.332343292E0
4.885254064E3,2.859952698E0,6.536906433E-1,-9.257648621E0
4.885355249E3,2.929408264E0,6.969506836E-1,-9.248667297E0
4.885456460E3,2.933300171E0,6.480024719E-1,-9.301058350E0
4.885557655E3,2.948119354E0,6.755451965E-1,-9.276210022E0
4.885658847E3,2.972368927E0,6.849755859E-1,-9.251361694E0
4.885760038E3,2.907553711E0,7.319778442E-1,-9.280550995E0
4.885861226E3,2.985990601E0,6.361770630E-1,-9.245074768E0
4.885962415E3,2.941982117E0,7.896080017E-1,-9.238937531E0
4.886063593E3,2.988535309E0,6.794371033E-1,-9.250164185E0
4.886164777E3,2.964585114E0,5.629792786E-1,-9.307794342E0
4.886265981E3,2.822979584E0,-0.000000000E0,-9.336684265E0
4.886367158E3,3.041375427E0,8.152047729E-1,-9.183852081E0
4.886468322E3,3.237617340E0,1.029559021E0,-9.142687683E0
4.886569521E3,2.778072968E0,2.676434326E-1,-9.408235474E0
4.886670692E3,2.717149658E0,-2.859054565E-2,-9.435927887E0
4.886771863E3,3.048261108E0,4.674778748E-1,-9.290131073E0
4.886873038E3,2.947670288E0,5.903723145E-1,-9.206006012E0
4.886974210E3,2.950065308E0,3.483256531E-1,-9.268276520E0
4.887075374E3,2.840343475E0,2.032772827E-1,-9.390123138E0
4.887176525E3,2.984194336E0,2.975811768E-1,-9.346713409E0
4.887277559E3,3.038231964E0,4.575984192E-1,-9.249864807E0
4.887378734E3,2.920876007E0,2.285746765E-1,-9.218729553E0
4.887479899E3,2.976859589E0,3.091072083E-1,-9.296717377E0
4.887581046E3,2.998714142E0,3.887416077E-1,-9.173373871E0
4.887682239E3,3.086431732E0,4.334985352E-1,-9.291777649E0
4.887783418E3,3.036136322E0,3.710783386E-1,-9.262139282E0
4.887884584E3,3.075654144E0,3.468287659E-1,-9.240135040E0
4.887985771E3,3.017874298E0,4.902305603E-1,-9.247020721E0
4.888086955E3,3.057392120E0,3.360511780E-1,-9.203012238E0
4.888188139E3,3.173849945E0,4.102967834E-1,-9.272767181E0
4.888289318E3,2.997965698E0,3.870950317E-1,-9.193282471E0
4.888390477E3,3.157084808E0,4.993615723E-1,-9.205257568E0
4.888491638E3,3.085234222E0,5.206173706E-1,-9.225615234E0
4.888592811E3,3.185825043E0,5.710624695E-1,-9.286688232E0
4.888693962E3,3.173999634E0,4.083508301E-1,-9.184750214E0
4.888795178E3,3.184477844E0,5.028044128E-1,-9.261989594E0
4.888896364E3,3.165916443E0,4.635859680E-1,-9.193881226E0
4.888997521E3,3.254681854E0,6.771917725E-1,-9.162895660E0
4.889098714E3,3.192710724E0,7.827223206E-1,-9.118737488E0
4.889199883E3,3.180436249E0,4.954696655E-1,-9.115294647E0
4.889301077E3,3.254981232E0,6.876699829E-1,-9.140292664E0
4.889402259E3,3.346141663E0,6.800358582E-1,-9.078321533E0
4.889503440E3,3.313958588E0,5.721102905E-1,-9.126221924E0
4.889604626E3,3.287164307E0,6.477030945E-1,-9.192384338E0
4.889705838E3,3.331921234E0,6.701564026E-1,-9.201665039E0
4.889807030E3,3.342549133E0,6.291416931E-1,-9.044491882E0
4.889908231E3,3.258723450E0,7.009922791E-1,-9.219777374E0
4.890009423E3,3.261717224E0,5.089416504E-1,-9.157506866E0
4.890110634E3,3.310815125E0,7.393125916E-1,-9.159602509E0
4.890211834E3,3.294049988E0,6.944059753E-1,-9.116941223E0
4.890313028E3,3.282673645E0,4.819976807E-1,-9.164392548E0
4.890414206E3,3.343746643E0,5.643264771E-1,-9.192683716E0
4.890515432E3,3.401526489E0,6.408174133E-1,-9.167086945E0
4.890616632E3,3.313509521E0,5.595364380E-1,-9.147926788E0
4.890717839E3,3.330873413E0,3.879931641E-1,-9.101223907E0
4.890819023E3,3.347039795E0,5.508544922E-1,-9.103469238E0
4.890920235E3,3.370091858E0,5.321434021E-1,-9.107061768E0
4.891021420E3,3.354823608E0,5.233117676E-1,-9.299561462E0
4.891122586E3,3.365601196E0,2.760260010E-1,-9.150621185E0
4.891223778E3,3.271896057E0,4.085005188E-1,-9.146280212E0
4.891324985E3,3.382366333E0,6.313870239E-1,-9.092392273E0
4.891426140E3,3.473526764E0,4.857398987E-1,-9.175619202E0
4.891527352E3,3.354823608E0,1.377136230E-1,-9.170230408E0
4.891628502E3,3.456611938E0,3.767665100E-1,-9.135802002E0
4.891729713E3,3.478167114E0,4.216731262E-1,-9.061406708E0
4.891830907E3,3.410807190E0,2.594105530E-1,-9.143136749E0
4.891932072E3,3.485052795E0,3.013233948E-1,-9.060957642E0
4.892033274E3,3.540737000E0,3.668870544E-1,-9.006021881E0
4.892134471E3,3.534749451E0,2.612068176E-1,-9.179211731E0
4.892235631E3,3.566633148E0,1.472937012E-1,-9.063502350E0
4.892336694E3,3.459156647E0,3.797602844E-1,-9.081165619E0
4.892437858E3,3.582649841E0,2.688409424E-1,-9.080417175E0
4.892539073E3,3.522175598E0,1.157093811E-1,-9.080417175E0
4.892640258E3,3.532803497E0,1.119671631E-1,-9.067693634E0
4.892741430E3,3.676953735E0,1.814227295E-1,-9.073980560E0
4.892842606E3,3.472778320E0,1.308279419E-1,-9.002279663E0
4.892943830E3,3.553759918E0,1.555265808E-1,-9.065148926E0
4.893045011E3,3.547323303E0,1.895059204E-1,-9.135652313E0
4.893146168E3,3.557502136E0,2.574645996E-2,-9.072483673E0
4.893247375E3,3.548820190E0,2.209405518E-1,-9.124275970E0
4.893348573E3,3.621419220E0,6.840774536E-2,-9.077573090E0
4.893449762E3,3.450325012E0,1.234931946E-1,-9.079968109E0
4.893550940E3,3.584595795E0,9.280700684E-2,-9.078171844E0
4.893652150E3,3.533102875E0,5.897735596E-2,-9.064250793E0
4.893753361E3,3.619173889E0,1.145118713E-1,-9.067843323E0
4.893854533E3,3.587888947E0,9.145980835E-2,-9.098529510E0
4.893955765E3,3.576961670E0,7.649093628E-2,-9.138646088E0
4.894056970E3,3.533252563E0,6.197113037E-2,-9.038803711E0
4.894158181E3,3.542682953E0,8.023315430E-2,-9.017847290E0
4.894259388E3,3.553310852E0,4.700225830E-2,-9.004375305E0
4.894360578E3,3.598067780E0,7.185058594E-2,-9.141490173E0
4.894461783E3,3.676055603E0,4.520599365E-2,-9.084159393E0
4.894562997E3,3.510499878E0,1.582209778E-1,-9.032816162E0
4.894664223E3,3.608845367E0,-2.874023438E-2,-9.010213165E0
4.894765430E3,3.551813965E0,4.834945679E-2,-9.054221649E0
4.894866632E3,3.622167664E0,5.433700562E-2,-9.074579315E0
4.894967855E3,3.647465057E0,3.592529297E-2,-9.084458771E0
4.895069068E3,3.604354706E0,-1.781295776E-2,-9.039252777E0
4.895170276E3,3.589385834E0,9.355545044E-2,-9.059011688E0
4.895271491E3,3.649111633E0,8.053253174E-2,-9.070088654E0
4.895372708E3,3.576063538E0,7.110214233E-2,-8.946595459E0
4.895473918E3,3.586541748E0,4.041595459E-3,-9.131011963E0
4.895575119E3,3.650159454E0,1.826202393E-2,-9.065298615E0
4.895676327E3,3.538341980E0,8.292755127E-2,-9.081914062E0
4.895777525E3,3.663332062E0,-5.343887329E-2,-8.964109039E0
4.895878712E3,3.542982330E0,1.252894592E-1,-9.027427368E0
4.895979888E3,3.632645874E0,6.706054688E-2,-9.072333984E0
4.896081091E3,3.694916382E0,1.320254517E-1,-9.104067993E0
4.896182298E3,3.646417236E0,1.019380188E-1,-9.020242310E0
4.896283466E3,3.571572876E0,1.098715210E-1,-8.973838806E0
4.896384678E3,3.631897430E0,1.697470093E-1,-9.038803711E0
4.896485896E3,3.611090698E0,8.053253174E-2,-8.990903320E0
4.896587077E3,3.685485992E0,2.163002014E-1,-9.073830872E0
4.896688237E3,3.719615021E0,7.664062500E-2,-9.047036591E0
