"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.683268917E1,1.709594879E0,2.892734528E0,8.196804657E0
1.693386917E1,1.749711456E0,3.203937378E0,9.280401306E0
1.703489000E1,1.429826660E0,3.346890106E0,9.752968597E0
1.713605800E1,1.175655212E0,3.229534149E0,8.825796661E0
1.723720600E1,9.003776550E-1,2.813698883E0,8.726702728E0
1.733840800E1,3.150947571E-1,3.642824707E0,9.480535126E0
1.743958100E1,5.554948425E-1,3.585942993E0,8.825197906E0
1.754075000E1,4.739144897E-1,3.699556732E0,8.622369690E0
1.764193400E1,7.903564453E-1,3.685935059E0,9.138346710E0
1.774310200E1,6.349795532E-1,3.779490509E0,9.086255035E0
1.784426500E1,1.084494781E0,3.582051086E0,9.103469238E0
1.794542000E1,3.790118408E-1,4.121080170E0,9.093889160E0
1.804656400E1,7.972421265E-1,3.586092682E0,8.783434753E0
1.814774800E1,7.970924377E-1,3.876339111E0,9.334289246E0
1.824890100E1,6.444099426E-1,3.414699097E0,9.312584381E0
1.835006400E1,2.206411743E-1,3.961961060E0,9.020242310E0
1.845120800E1,7.280859375E-1,3.487148438E0,9.091943207E0
1.855237900E1,2.734812927E-1,3.963757324E0,9.069938965E0
1.865355600E1,2.808160400E-1,4.030219116E0,8.784781952E0
1.875470800E1,8.045768738E-1,3.867357788E0,9.064250793E0
1.885586200E1,7.771838379E-1,3.782484283E0,8.983269196E0
1.895703800E1,4.561015320E-1,4.038002930E0,8.866362305E0
1.905820200E1,8.327183533E-1,3.754043427E0,9.192983093E0
1.915935900E1,4.267625427E-1,3.993096313E0,8.833430786E0
1.926052300E1,6.004014587E-1,3.718716888E0,9.172176361E0
1.936167400E1,9.616003418E-1,3.466491394E0,9.030121765E0
1.946285500E1,6.761439514E-1,3.724554749E0,8.967402191E0
1.956402400E1,8.996292114E-1,3.677253113E0,9.214687958E0
1.966518100E1,4.764591980E-1,3.703748016E0,8.995094604E0
1.976634700E1,6.087840271E-1,3.623365173E0,9.014404449E0
1.986751000E1,1.015787659E0,3.553909607E0,9.175020447E0
1.996867500E1,7.450007629E-1,3.860322418E0,9.109756165E0
2.006983100E1,7.355703735E-1,3.850592651E0,8.949140167E0
2.017100400E1,9.342073059E-1,3.563190308E0,8.962612152E0
2.027218200E1,7.747888184E-1,3.720213776E0,8.796457672E0
2.037335600E1,9.753717041E-1,3.529510345E0,9.114246826E0
2.047450900E1,1.018781433E0,3.602857819E0,9.094338226E0
2.057568800E1,8.765771484E-1,3.520678711E0,9.122180328E0
2.067685600E1,6.484515381E-1,3.778891754E0,9.087452545E0
2.077801100E1,7.557783508E-1,3.601211243E0,9.357341309E0
2.087920800E1,5.107379150E-1,3.781436462E0,8.887468414E0
2.098038600E1,8.728349304E-1,3.557801514E0,9.294621735E0
2.108155600E1,6.734495544E-1,3.647465057E0,8.872349854E0
2.118273600E1,7.512876892E-1,3.664978638E0,9.135802002E0
2.128391200E1,8.756790161E-1,3.515289917E0,9.138047333E0
2.138510900E1,6.173162842E-1,3.777843933E0,8.966653748E0
2.148629600E1,8.431965637E-1,3.660038910E0,9.095685425E0
2.158748000E1,8.638536072E-1,3.439248047E0,8.994645538E0
